Base_HR,Base_EDA,HR,EDA,Neutral,Happy,Sad,Angry,Surprised,Scared,Disgusted,EDA_difference,HR_difference,Trust_level
81.3,2.45,80.13,3.26,0.8691223,0.01216715,0.1484142,0.008089951,0.01941774,0.004635053,0.02158469,0.81,-1.17,Gradual_trust
81.3,2.45,80.05,3.5,0.8545954,0.01105387,0.1667406,0.007811963,0.01871764,0.004481111,0.02184384,1.05,-1.25,Gradual_trust
81.3,2.45,79.97,3.32,0.8456011,0.01042079,0.1794575,0.007338888,0.01754278,0.004261686,0.02229698,0.87,-1.33,Gradual_trust
81.3,2.45,79.93,3.53,0.8332585,0.009764278,0.1971947,0.006667071,0.01566853,0.00395956,0.0221208,1.08,-1.37,Gradual_trust
81.3,2.45,79.92,3.58,0.8268148,0.009301647,0.2052561,0.00624594,0.01427123,0.003756701,0.02314393,1.13,-1.38,Gradual_trust
81.3,2.45,79.9,3.45,0.8251799,0.008963294,0.2046244,0.006722725,0.01370159,0.003694263,0.02379748,1,-1.4,Gradual_trust
81.3,2.45,79.87,3.43,0.8235451,0.008624943,0.2039927,0.00719951,0.01313194,0.003631824,0.02445102,0.98,-1.43,Gradual_trust
81.3,2.45,79.8,3.24,0.8197996,0.008233656,0.2062467,0.0074488,0.01261545,0.003560401,0.02515824,0.79,-1.5,Gradual_trust
81.3,2.45,79.68,3.3,0.8110099,0.007695893,0.2132563,0.008118029,0.01368519,0.003519441,0.02614123,0.85,-1.62,Gradual_trust
81.3,2.45,79.5,3.34,0.8023733,0.007406491,0.2260827,0.008220157,0.01373682,0.003448135,0.02645241,0.89,-1.8,Gradual_trust
81.3,2.45,79.27,3.01,0.7873085,0.006969265,0.2509347,0.008144182,0.01339139,0.003306964,0.02657507,0.56,-2.03,Gradual_trust
